"","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00253688-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00167564-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00018117-17",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00344560-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00023902-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253730-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015116-13",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00186006-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263544-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00092384-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166265-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095622-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00262912-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263653-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263858-02",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00015846-15",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159415-04",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00163355-05",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00025132-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090691-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00065890-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00178811-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00025315-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021466-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015590-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015908-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263909-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274076-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253645-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166206-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253647-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160493-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253673-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159553-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00024512-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00163319-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179435-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253741-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016741-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160631-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016251-13",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091225-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016879-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015216-17",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253634-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016572-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016323-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090903-11",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00018243-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016386-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253749-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016530-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016309-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016367-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016337-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016612-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160667-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00165787-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160679-02",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00025177-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166262-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00167426-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159483-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00178417-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00178790-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263910-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015830-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016272-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179265-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179366-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090905-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263530-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095176-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253657-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253616-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160444-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00013287-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160651-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015074-14",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015149-16",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00249907-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021876-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021569-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164593-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164583-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00178944-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021679-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00167505-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00013082-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263559-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00161670-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164513-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091051-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091175-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253617-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274279-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016660-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159477-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091345-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159422-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091396-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00261971-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253766-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159434-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00024643-10",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016366-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016624-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00165862-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00013289-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015760-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00018230-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253761-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095089-10",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015924-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095748-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160563-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00024452-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263893-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095043-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015823-17",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016889-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253709-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253684-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164629-02",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00095166-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095795-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016261-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159384-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016010-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015655-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091208-09",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00263557-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015701-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00344525-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159393-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160654-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016354-11",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091655-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166076-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164534-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094812-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016542-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159406-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160472-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253717-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160628-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015397-10",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091645-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160162-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016011-14",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015519-11",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00091338-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090814-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164532-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016361-12",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091423-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091501-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091454-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00181161-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159324-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253631-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00017352-24",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00095933-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015321-11",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00168748-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091330-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160475-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090887-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094580-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274080-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00023643-15",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00091367-05",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00096119-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00182851-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00178404-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090766-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00023939-11",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179392-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021761-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00022848-17",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274078-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00022735-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159474-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179649-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274077-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00024016-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00023234-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00021301-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00022472-10",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016065-11",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00263533-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015471-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159412-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00185990-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00018099-09",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00179408-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00182070-03",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00179364-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00262962-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166144-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094908-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094689-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00165973-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015955-16",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00181337-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094779-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00166075-02",NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA
"NCGC00159400-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160515-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095125-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00165987-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164556-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00270540-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164510-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164265-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00090731-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00274074-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095911-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00095074-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016668-06",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00249894-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00015073-05",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00159404-04",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00164487-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00165999-03",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160503-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00160361-02",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016760-08",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00016229-14",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00094721-07",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00253651-01",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"NCGC00259487-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00166121-01",NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
"NCGC00015959-03",1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"NCGC00094121-01",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
"NCGC00094891-01",NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00015300-05",0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00181158-01",NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"NCGC00256156-01",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NCGC00241107-01",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"NCGC00258157-01",NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00016913-08",NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00094586-01",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
"NCGC00164245-02",NA,0,NA,1,NA,0,NA,NA,NA,NA,1,NA
"NCGC00255704-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00016789-03",NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
"NCGC00255964-01",NA,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"NCGC00181104-01",NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA
"NCGC00254602-01",NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA
"NCGC00181122-01",NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
"NCGC00018301-02",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"NCGC00256289-01",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NCGC00254244-01",NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA
"NCGC00094893-01",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1
"NCGC00254676-01",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"NCGC00181100-01",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"NCGC00016016-10",NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA
"NCGC00254580-01",0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00183015-01",0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00257973-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00258279-01",NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"NCGC00254691-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00255782-01",0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"NCGC00255488-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00258303-01",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"NCGC00257360-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00258575-01",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"NCGC00258444-01",NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"NCGC00258558-01",0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"NCGC00258542-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00168261-01",1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00257010-01",1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"NCGC00181129-01",NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NCGC00254894-01",0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"NCGC00165907-02",NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00255294-01",0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00259619-01",0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"NCGC00168772-01",NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,1
"NCGC00257401-01",0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00260037-01",NA,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"NCGC00257257-01",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"NCGC00260056-01",NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"NCGC00160391-01",NA,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"NCGC00182083-02",0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"NCGC00166123-01",NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"NCGC00255277-01",NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA
"NCGC00256855-01",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00255514-01",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"NCGC00159428-02",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1
"NCGC00255856-01",0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NCGC00258154-01",0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00257500-01",NA,0,NA,1,NA,NA,NA,NA,0,1,NA,NA
"NCGC00257925-01",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"NCGC00254654-01",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NCGC00254847-01",0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00163700-01",NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA
"NCGC00255188-01",NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA
"NCGC00259098-01",0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00260028-01",NA,0,NA,1,NA,NA,NA,NA,0,NA,1,NA
"NCGC00254211-01",NA,0,NA,NA,NA,NA,NA,NA,0,NA,1,NA
"NCGC00258778-01",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"NCGC00253950-01",0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00260206-01",0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00254030-01",NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,1
"NCGC00255696-01",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"NCGC00260177-01",NA,0,NA,1,NA,NA,NA,1,NA,NA,1,NA
"NCGC00259547-01",NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00260178-01",NA,0,NA,1,NA,NA,NA,1,NA,NA,1,NA
"NCGC00166120-01",0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
"NCGC00091112-02",NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA
"NCGC00255472-01",0,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA
